Model,Accuracy,Precision,Recall,F1
KNN,74.76635514018692,85.24590163934425,74.28571428571429,79.38931297709924
SVM,71.02803738317756,71.91011235955057,91.42857142857143,80.50314465408806
Logistic Regression,70.09345794392523,70.2127659574468,94.28571428571428,80.48780487804879
Decision Tree,79.43925233644859,86.36363636363636,81.42857142857143,83.82352941176471
XGBoost,78.50467289719626,81.33333333333333,87.14285714285714,84.13793103448276
LightGBM,77.57009345794393,80.26315789473685,87.14285714285714,83.56164383561644
ANN,74.76635514018692,82.08955223880598,78.57142857142857,80.2919708029197
Random Forest,79.43925233644859,80.76923076923077,90.0,85.13513513513514
Voting Classifier,76.63551401869158,80.0,85.71428571428571,82.75862068965519
