Model,Accuracy,Precision,Recall,F1
KNN,85.98130841121495,93.33333333333333,77.77777777777779,84.84848484848484
SVM,86.91588785046729,85.71428571428571,88.88888888888889,87.27272727272727
Logistic Regression,76.63551401869158,80.85106382978722,70.37037037037037,75.24752475247524
Decision Tree,91.58878504672897,94.11764705882352,88.88888888888889,91.42857142857143
XGBoost,91.58878504672897,92.45283018867924,90.74074074074075,91.58878504672899
LightGBM,91.58878504672897,90.9090909090909,92.5925925925926,91.74311926605505
ANN,85.04672897196261,86.53846153846155,83.33333333333334,84.90566037735849
Random Forest,92.5233644859813,96.0,88.88888888888889,92.3076923076923
Voting Classifier,91.58878504672897,94.11764705882352,88.88888888888889,91.42857142857143
