Model,Accuracy,Precision,Recall,F1
KNN,85.04672897196261,92.3076923076923,73.46938775510205,81.81818181818183
SVM,82.2429906542056,78.84615384615384,83.6734693877551,81.18811881188118
Logistic Regression,83.17757009345794,91.8918918918919,69.38775510204081,79.06976744186046
Decision Tree,92.5233644859813,91.83673469387756,91.83673469387756,91.83673469387756
XGBoost,92.5233644859813,90.19607843137256,93.87755102040816,92.0
LightGBM,92.5233644859813,90.19607843137256,93.87755102040816,92.0
ANN,93.45794392523365,92.0,93.87755102040816,92.92929292929293
Random Forest,91.58878504672897,93.47826086956522,87.75510204081633,90.52631578947368
Voting Classifier,90.65420560747664,89.79591836734694,89.79591836734694,89.79591836734694
