Model,Accuracy,Precision,Recall,F1
KNN,80.37383177570094,75.0,60.0,66.66666666666666
SVM,74.76635514018692,68.18181818181817,42.857142857142854,52.63157894736843
Logistic Regression,78.50467289719626,73.07692307692307,54.285714285714285,62.29508196721311
Decision Tree,79.43925233644859,72.41379310344827,60.0,65.625
XGBoost,82.2429906542056,76.66666666666667,65.71428571428571,70.76923076923077
LightGBM,75.70093457943925,66.66666666666666,51.42857142857142,58.06451612903226
ANN,79.43925233644859,78.26086956521739,51.42857142857142,62.06896551724138
Random Forest,85.98130841121495,79.41176470588235,77.14285714285715,78.26086956521739
Voting Classifier,83.17757009345794,79.3103448275862,65.71428571428571,71.875
