Model,Accuracy,Precision,Recall,F1
KNN,93.0,97.05882352941177,84.61538461538461,90.41095890410958
SVM,94.0,100.0,84.61538461538461,91.66666666666666
Logistic Regression,94.0,94.5945945945946,89.74358974358975,92.10526315789474
Decision Tree,91.0,89.47368421052632,87.17948717948718,88.31168831168831
XGBoost,94.0,94.5945945945946,89.74358974358975,92.10526315789474
LightGBM,97.0,97.36842105263158,94.87179487179486,96.10389610389612
ANN,96.0,97.2972972972973,92.3076923076923,94.73684210526315
Random Forest,97.0,97.36842105263158,94.87179487179486,96.10389610389612
Voting Classifier,96.0,94.87179487179486,94.87179487179486,94.87179487179486
